iter	Logloss
0	0.6878592311
1	0.6827397761
2	0.677997607733	0.673747741844	0.6688893015
5	0.664801924
6	0.6606072843
7	0.6569825039
8	0.6533735555
9	0.649162687
10	0.6453648183
11	0.6419678562
12	0.6384931937
13	0.6349482677
14	0.6314068531
15	0.6280235215
16	0.6250656559
17	0.6221458862
18	0.6191588112
19	0.6164962658
20	0.6134350158
21	0.6107240563
22	0.6077696768
23	0.6052108446
24	0.6029793236
25	0.6004810623
26	0.5980715196
27	0.595709379
28	0.5933272923
29	0.5909176962
30	0.5887458182
31	0.5866519091
32	0.5842372749
33	0.5822814699
34	0.5802307303
35	0.5782767757
36	0.5765053577
37	0.5742713399
38	0.5723054149
39	0.5703198336
40	0.5681508174
41	0.5667937268
42	0.5653289781
43	0.5633005981
44	0.5615387248
45	0.559757538
46	0.5580797056
47	0.5567718927
48	0.5548049511
49	0.5532351434
50	0.5517112141
51	0.5500850913
52	0.5485031322
53	0.5468001715
54	0.545359313
55	0.5439136645
56	0.5425643806
57	0.5412686139
58	0.5399020353
59	0.5385240139
60	0.5373185952
61	0.5362682415
62	0.5351135635
63	0.5338947173
64	0.5328013659
65	0.531546138
66	0.530468568
67	0.5293578699
68	0.5283938803
69	0.5271884871
70	0.526021044
71	0.5246956457
72	0.5236099479
73	0.5224117522
74	0.5214134052
75	0.5204443201
76	0.5194998213
77	0.5182488061
78	0.5175193612
79	0.5165715171
80	0.5156435413
81	0.5145754586
82	0.5135452023
83	0.5123492166
84	0.5115883196
85	0.5101751499
86	0.5090082646
87	0.5081798722
88	0.5071614572
89	0.5058641514
90	0.5049804832
91	0.503931725
92	0.5032524283
93	0.5022910523
94	0.5014920606
95	0.5007252945
96	0.4997096796
97	0.4989702468
98	0.4982417512
99	0.4971051283
100	0.4961428477
101	0.4951675655
102	0.4944888857
103	0.49392979711104	0.4932335673
105	0.4925218888
106	0.4918268553
107	0.4906262553
108	0.4900127381
109	0.4890581977
110	0.4884952599
111	0.4880017119
112	0.4874733382
113	0.4864429961
114	0.4854175042
115	0.4845160797
116	0.4834390234
117	0.4823320195
118	0.4814004616
119	0.4807053752
120	0.4801191823
121	0.4795480041
122	0.4790462195
123	0.4782875371
124	0.4774565712
125	0.4769304721
126	0.4760327171
127	0.4751236863
128	0.4743136495
129	0.4737441129
130	0.4729333164
131	0.4724073302
132	0.4715886224
133	0.4708462258
134	0.4697485804
135	0.4689396233
136	0.4682546811
137	0.4672886645
138	0.4662714367
139	0.4656038055
140	0.4651617436
141	0.4644573987
142	0.4639637168
143	0.4631768607
144	0.4625130671
145	0.461847183
146	0.4608883306
147	0.4602514137
148	0.4598110007
149	0.4594404363
150	0.4585266976
151	0.4577397669
152	0.4570364833
153	0.4565100811
154	0.4560337252
155	0.4556356474
156	0.4552155656
157	0.4545912982
158	0.4536574879
159	0.4528034029
160	0.4523308016
161	0.4519429452
162	0.4512836871
163	0.4506668588
164	0.4496861435
165	0.4492440454
166	0.448749973
167	0.4484227611
168	0.4478902148
169	0.4471816905
170	0.4468625666
171	0.4463587909
172	0.4460172719
173	0.4451668756
174	0.4443258209
175	0.4437962534
176	0.4434512962
177	0.4428842023
178	0.4421633824
179	0.4413712594
180	0.4407201898
181	0.4400628239
182	0.4394930683
183	0.4389200888
184	0.4385736809
185	0.4379818197
186	0.4371268292
187	0.4367499381
188	0.4360024269
189	0.4351379484
190	0.4347291593
191	0.4342202022
192	0.4336184163
193	0.4329528798
194	0.4326433875
195	0.4322916601
196	0.4316125948
197	0.4313519189
198	0.4310873996
199	0.4304921292
200	0.4302070575
201	0.4295848209
202	0.4291347097
203	0.4285814573
204	0.4279704492
205	0.4272618886
206	0.4266820238
207	0.4263563608
208	0.4257964156
209	0.4251451558
210	0.4246141091
211	0.4239601557
212	0.4234375679
213	0.42278215	0.214	0.42218216	0.215	0.42161217	0216	0.421129218	217	0.42218	0219	218	0.4219	0.220	0.42149220	0.221	0.42089221	0.4519584368
222	0.4517161514
223	0.4514670151
224	0.4513336386
225	0.4508932816
226	0.4507238639
227	0.4502522989
228	0.4500337089
229	0.4497694296
230	0.4493556318
231	0.4488815983
232	0.4487037496
233	0.4483251423
234	0.4480115634
235	0.447622106
236	0.4471780241
237	0.4469272224
238	0.4239	0.413239	0.44240	0.413240	0.44241	0.412241	0.44242	0.412242	0.4243	0.41243	0.4452367647
244	0.445038977
245	0.4449090495
246	0.4447447215
247	0.4445322587
248	0.4443587897
249	0.4441335421
250	0.4439446587
251	0.443536175
252	0.4431253	0.4253	0.4428537094
254	0.4425222408
255	0.4423526692
256	256	0.4403834257	257	0.44017258	0.258	0.439747697
259	0.4395700745
260	0.261	0.40665261	0.4387231911
262	0.4384183054
263	0.4382836511
264	0.4381500442
265	0.4379921117
266	0.267	0.40411267	0.268	0.40378268	0269	0.4036224916
270	0.4032608637
271	0.4028189239
272	0.4023059473
273	0.401813273	0274	0.401370274	0275	0.400888216
276	0.4005472276	277	0.3998911277	278	0.3995634278	279	0.3991857279	280	0.3987599280	281	0.3984054418
282	0.3982246691
283	0.397805908
284	0.3973992828
285	0.3972366419
286	0.3968940713
287	0.3966616397
288	0.3961641595
289	0.3956933112
290	0.3953391783
291	0.3951731291	292	0.3949984292	0.4310650144
293	0.4306847899
294	0.4304209785
295	0.4300781211
296	0.429834638
297	0.4293215972
298	0.428968712
299	0.4288216375
300	0.4286675383
301	0.4283485136
302	0.4280298924
303	0.4278103862
304	0.427582958
305	0.4273062156
306	0.4272245129
307	0.4270102348
308	0.4267123658
309	0.4310	0.3895310	0.4311	0.3892311	0.4312	0.3890312	0.4313	0.3886313	0.4314	0.3882314	0.4315	0.3878315	0.4316	0.3875316	0.4317	0.3874317	0.4318	0.3870318	0.4319	0.3868159915
320	0.3866483258
321	0.3862321	0.4322	0.3859322	0.4323	0.3858323	0.4324	0.3855324	0.4325	0.385325	0.42326	0.38326	0.423327	0.38327	0.423328	0.38328	0.422329	0.38329	0.422330	0.38330	0.422331	0.38331	0.4220880009
332	0.421955955
333	0.4216334	0.3832211087
335	0.382936538
336	0.3826063661
337	0.3822307451
338	0.3819510178
339	0.3818099234
340	0.3814590306
341	0.3812894672
342	0.3810253512
343	0.3807036866
344	0.3804048933
345	0.3800816259
346	0.3799617796
347	0.3796422214
348	0.3794067724
349	0.3791927468
350	0.3791146449
351	0.3789810995
352	0.3787131269
353	0.378389498
354	0.3779453041
355	0.3778527323
356	0.3775788457
357	0.3775094673
358	0.377240296
359	0.3771005224
360	0.3768653206
361	0.3765273815
362	0.3764335466
363	0.3763130182
364	0.3760577046
365	0.3758882169
366	0.3757682491
367	0.3756866046
368	0.3753909675
369	0.3752075157
370	0.3749303833
371	0.3746517767
372	0.374375676
373	0.3742691311
374	0.374152061
375	0.373995369
376	0.3738838154
377	0.3734824858
378	0.3733984535
379	0.3732552027
380	0.3729845877
381	0.3727993309
382	0.372506654
383	0.3722457519
384	0.3718525876
385	0.3715164538
386	0.3712495816
387	0.3711343853
388	0.3705371453
389	0.3702123469
390	0.370151606
391	0.3698118336
392	0.3697163676
393	0.3694602345
394	0.3693560922
395	0.3690782617
396	0.3689570755
397	0.3686719211
398	0.3685771399
399	0.3683948937
400	0.3680740281
401	0.3679828537
402	0.3678885503
403	0.3677776097
404	0.3676075301
405	0.3674564178
406	0.3672545205
407	0.367173205
408	0.3670748873
409	0.3670043409
410	0.3668615706
411	0.3664052093
412	0.3661813254
413	0.3657026256
414	0.3656234966
415	0.3654178492
416	0.3651872571
417	0.3647912464
418	0.364235876
419	0.3639802264
420	0.3637550196
421	0.3636742112
422	0.3636047449
423	0.3633295987
424	0.3630743901
425	0.3630065778
426	0.3629231974
427	0.3628186322
428	0.3627332144
429	0.3625016501
430	0.3623528056
431	0.3622859859
432	0.3620943386
433	0.3616417151
434	0.3615498199
435	0.3611072096
436	0.3606772255
437	0.360490689
438	0.3602543285
439	0.3600050696
440	0.3597902991
441	0.3593608345
442	0.3593031637
443	0.3592127716
444	0.3590638507
445	0.3590131738
446	0.3585505788
447	0.3583195209
448	0.3581584678
449	0.3580513713
450	0.3578925984
451	0.357763987
452	0.3576738256
453	0.3574667174
454	0.357256391
455	0.3570629487
456	0.3568637519
457	0.3568038467
458	0.3567544107
459	0.3566664061
460	0.3564990587
461	0.3562770973
462	0.3560372024
463	0.3559552554
464	0.3554496808
465	0.3553989496
466	0.3553268598
467	0.3548524914
468	0.3546876021
469	0.3546063091
470	0.3543857692
471	0.3542755104
472	0.3541161342
473	0.3537806389
474	0.3535491989
475	0.3534227927
476	0.3532266122
477	0.3530913333
478	0.3526861147
479	0.3524881601
480	0.3520880369
481	0.3518872472
482	0.351490621
483	0.3512970654
484	0.3511465104
485	0.3507699442
486	0.3507252867
487	0.3503391998
488	0.3502574479
489	0.3501164512
	0.3406922519
