iter	Passed	Remaining
0	4	2355
1	8	2042
2	12	1983
3	16	1995
4	20	2022
5	24	2011
6	28	1958
7	31	1923
8	35	1871
9	38	1854
10	42	1833
11	45	1831
12	49	1826
13	54	1844
14	57	1835
15	61	1820
16	65	1822
17	69	1832
18	73	1817
19	76	1803
20	80	1792
21	83	1770
22	86	1763
23	90	1759
24	94	1757
25	98	1757
26	101	1745
27	104	1727
28	108	1718
29	111	1712
30	115	1705
31	119	1707
32	122	1696
33	125	1688
34	129	1679
35	132	1669
36	136	1669
37	139	1658
38	143	1654
39	146	1651
40	150	1643
41	153	1635
42	156	1626
43	159	1618
44	162	1610
45	166	1608
46	170	1603
47	173	1601
48	177	1596
49	180	1590
50	184	1584
51	187	1578
52	190	1571
53	194	1566
54	197	1561
55	201	1557
56	204	1554
57	208	1550
58	211	1545
59	214	1539
60	218	1536
61	222	1532
62	225	1529
63	229	1529
64	233	1529
65	238	1529
66	241	1527
67	245	1524
68	248	1518
69	252	1514
70	256	1511
71	260	1511
72	264	1510
73	267	1505
74	271	1504
75	276	1504
76	279	1500
77	283	1497
78	287	1494
79	290	1490
80	294	1484
81	297	1480
82	300	1475
83	304	1470
84	307	1465
85	311	1462
86	315	1460
87	318	1456
88	322	1452
89	326	1449
90	329	1444
91	332	1440
92	336	1436
93	340	1432
94	343	1427
95	346	1424
96	350	1420
97	354	1417
98	358	1414
99	362	1412
100	365	1409
101	369	1404
102	372	1399
103	3104	380	104	380	1395
105	384	1392
106	387	1388
107	391	1384
108	394	1379
109	397	1374
110	401	1369
111	404	1366
112	408	1363
113	412	1359
114	416	1357
115	420	1354
116	423	1349
117	426	1345
118	430	1341
119	434	1338
120	437	1333
121	440	1329
122	444	1325
123	447	1321
124	451	1318
125	454	1313
126	458	1310
127	461	1306
128	465	1302
129	468	1298
130	472	1295
131	476	1293
132	480	1289
133	484	1287
134	488	1285
135	493	1283
136	496	1278
137	500	1275
138	504	1272
139	508	1270
140	511	1266
141	515	1262
142	518	1258
143	522	1255
144	525	1250
145	529	1248
146	533	1243
147	536	1240
148	540	1237
149	544	1234
150	549	1232
151	553	1229
152	557	1227
153	561	1224
154	564	1221
155	568	1217
156	572	1213
157	576	1210
158	579	1206
159	583	1203
160	586	1199
161	590	1195
162	593	1191
163	597	1187
164	601	1184
165	605	1181
166	608	1177
167	612	1174
168	616	1170
169	619	1166
170	623	1162
171	626	1158
172	629	1153
173	633	1149
174	636	1145
175	640	1142
176	644	1138
177	647	1134
178	651	1131
179	655	1128
180	658	1124
181	662	1121
182	666	1118
183	670	1114
184	673	1110
185	677	1107
186	680	1103
187	684	1099
188	687	1095
189	691	1091
190	694	1087
191	698	1083
192	701	1080
193	705	1076
194	709	1073
195	713	1069
